"095年08月31日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="04329 ","元大CA          ","24,879,000","384,000","24,495,000",
="04328 ","元大BZ          ","18,658,000","1,367,000","17,291,000",
="04331P","健策國票93售02  ","14,452,000","502,000","13,950,000",
="04332P","A50正2日盛93售01","13,948,000","5,000","13,943,000",
"2408  ","南亞科          ","6,936,000","1,374,000","5,562,000",
="0050  ","元大台灣50      ","5,106,000","288,000","4,818,000",
"2883  ","開發金          ","3,196,000","23,000","3,173,000",
"2886  ","兆豐金          ","2,529,000","55,000","2,474,000",
"2882  ","國泰金          ","2,447,000","51,000","2,396,000",
="04036 ","永豐6A          ","2,189,000","38,000","2,151,000",
="03751 ","元大59          ","2,046,000","20,000","2,026,000",
"2881  ","富邦金          ","1,905,000","22,000","1,883,000",
"2891  ","中信金          ","1,882,000","2,000","1,880,000",
"2888  ","新光金          ","1,964,000","133,000","1,831,000",
"2392  ","正崴            ","2,100,585","274,232","1,826,353",
"3009  ","奇美電          ","1,968,120","393,800","1,574,320",
"2409  ","友達            ","1,878,000","380,000","1,498,000",
"2303  ","聯電            ","1,604,000","201,000","1,403,000",
"2801  ","彰銀            ","1,394,000","2,000","1,392,000",
"2890  ","永豐金          ","1,378,000","21,000","1,357,000",
="04194 ","富邦DD          ","1,731,000","455,000","1,276,000",
"2880  ","華南金          ","1,236,000","0","1,236,000",
"2845  ","遠東銀          ","1,193,000","1,912","1,191,088",
="03417 ","富邦AL          ","1,511,000","377,000","1,134,000",
"2446  ","全懋            ","1,338,000","287,944","1,050,056",
"2367  ","燿華            ","1,034,000","0","1,034,000",
"2892  ","第一金          ","1,271,000","248,000","1,023,000",
="03814 ","兆豐B3          ","2,085,000","1,067,000","1,018,000",
"5854  ","合庫            ","1,353,000","345,000","1,008,000",
="03705 ","工銀JW          ","1,003,000","1,000","1,002,000",
="04308 ","日盛BN          ","1,153,000","275,000","878,000",
"2887  ","台新金          ","877,000","0","877,000",
"2834  ","臺企銀          ","869,000","10,000","859,000",
"6004  ","元京證          ","768,000","0","768,000",
="04132 ","兆豐G6          ","1,925,000","1,177,000","748,000",
"2448  ","晶電            ","806,000","63,224","742,776",
"2823  ","中壽            ","751,000","11,000","740,000",
"6115  ","鎰勝            ","737,000","0","737,000",
"2807  ","竹商銀          ","734,000","1,296","732,704",
"2885  ","元大金          ","727,000","600","726,400",
"2401  ","凌陽            ","793,000","70,272","722,728",
"2332  ","友訊            ","802,000","81,696","720,304",
="03923 ","富邦CK          ","733,000","45,000","688,000",
"2884  ","玉山金          ","654,000","0","654,000",
"2325  ","矽品            ","878,000","255,000","623,000",
="04288 ","凱基4K          ","2,347,000","1,746,000","601,000",
"3061  ","璨圓            ","600,000","0","600,000",
"6168  ","宏齊            ","568,000","0","568,000",
="04278 ","日盛46          ","2,134,000","1,568,000","566,000",
"3042  ","晶技            ","608,000","47,000","561,000",
"2388  ","威盛            ","594,000","43,400","550,600",
="03915 ","凱基3F          ","1,345,000","821,000","524,000",
"8078  ","華寶            ","545,000","56,000","489,000",
"2330  ","台積電          ","675,000","189,000","486,000",
"2313  ","華通            ","575,000","105,312","469,688",
="03977 ","富邦CM          ","608,000","143,000","465,000",
="03966 ","統一CS          ","1,806,000","1,358,000","448,000",
="03929 ","工銀KL          ","599,000","154,000","445,000",
="04192 ","富邦DB          ","536,000","99,000","437,000",
="03665 ","永豐79          ","435,000","0","435,000",
="03917 ","富邦CD          ","2,106,000","1,674,000","432,000",
="04137 ","康和CH          ","479,000","55,000","424,000",
"2353  ","宏碁            ","602,000","190,000","412,000",
="04257P","景碩國票93售01  ","1,109,000","698,000","411,000",
="03852 ","元大78          ","751,000","341,000","410,000",
="04197 ","富邦DG          ","770,000","360,000","410,000",
="04193 ","永昌EH          ","2,956,000","2,551,000","405,000",
"2308  ","台達電          ","478,000","75,000","403,000",
"1303  ","南亞            ","558,000","163,000","395,000",
="03961 ","康和CD          ","1,268,000","878,000","390,000",
="03886 ","凱基3E          ","1,178,000","789,000","389,000",
="04242 ","大華MK          ","786,000","400,000","386,000",
="03941 ","亞東HW          ","2,031,000","1,654,000","377,000",
"6239  ","力成            ","658,000","289,000","369,000",
="04028 ","大華LK          ","656,000","289,000","367,000",
"9904  ","寶成            ","464,000","100,000","364,000",
"2534  ","宏盛            ","463,000","100,000","363,000",
="01002T","土銀國泰R1      ","356,000","0","356,000",
="03835 ","工銀KE          ","676,000","321,000","355,000",
="03931 ","工銀KN          ","394,000","43,000","351,000",
="03423 ","第一40          ","350,000","1,000","349,000",
"2474  ","可成            ","646,000","304,000","342,000",
"2618  ","長榮航          ","501,000","164,192","336,808",
="04301 ","康和CT          ","880,000","550,000","330,000",
="03971 ","凱基3L          ","376,000","50,000","326,000",
="03848 ","永豐5C          ","304,000","0","304,000",
"1605  ","華新            ","295,000","1,000","294,000",
="03935 ","工銀KS          ","815,000","523,000","292,000",
="03889 ","永豐5K          ","1,067,000","776,000","291,000",
="04055 ","群益48          ","2,205,000","1,923,000","282,000",
="04281 ","凱基4C          ","1,642,000","1,363,000","279,000",
="04219 ","永豐6Y          ","1,209,000","954,000","255,000",
"3311  ","閎暉            ","263,003","9,592","253,411",
"2006  ","東和鋼鐵        ","259,000","6,024","252,976",
"3474  ","華亞科          ","614,000","363,000","251,000",
="03851 ","元大77          ","565,000","316,000","249,000",
"2439  ","美律            ","291,000","48,000","243,000",
="04071 ","元大98          ","1,354,000","1,113,000","241,000",
="03748 ","元大56          ","259,000","21,000","238,000",
="03952 ","兆豐C8          ","348,000","111,000","237,000",
"2391  ","合勤            ","236,000","2,896","233,104",
="03963 ","康和CF          ","1,089,000","857,000","232,000",
="04019 ","兆豐E7          ","964,000","732,000","232,000",
="04244 ","大華ML          ","3,281,000","3,049,000","232,000",
="03994 ","永豐5T          ","1,902,000","1,677,000","225,000",
"2889  ","國票金          ","224,000","2,040","221,960",
"2382  ","廣達            ","370,000","151,000","219,000",
="04004 ","凱基3Q          ","612,000","394,000","218,000",
="04066 ","大華LU          ","278,000","60,000","218,000",
="03753 ","康和BY          ","300,000","85,000","215,000",
="03849 ","寶來BB          ","874,000","659,000","215,000",
"1301  ","台塑            ","227,000","12,060","214,940",
"2356  ","英業達          ","212,000","1,424","210,576",
="03877 ","永昌LH          ","420,000","212,000","208,000",
="03695 ","富邦BH          ","206,000","0","206,000",
="03972 ","元大87          ","200,000","0","200,000",
="04223 ","永豐7C          ","1,164,000","966,000","198,000",
"2363  ","矽統            ","203,000","6,992","196,008",
="03927 ","大華LI          ","1,343,000","1,147,000","196,000",
="03895 ","寶來B8          ","1,304,000","1,109,000","195,000",
="03986 ","永昌LX          ","773,000","579,000","194,000",
="04145 ","元大AT          ","1,572,000","1,386,000","186,000",
"2449  ","京元電子        ","460,300","276,336","183,964",
"3062  ","建漢            ","268,000","85,000","183,000",
="03983 ","永昌LU          ","342,000","160,000","182,000",
="03841 ","大華KV          ","1,483,000","1,303,000","180,000",
="04026 ","兆豐F5          ","906,000","726,000","180,000",
="04072 ","元大99          ","929,000","750,000","179,000",
"2107  ","厚生            ","179,000","0","179,000",
"2376  ","技嘉            ","179,000","3,520","175,480",
="01004T","土銀富邦R2      ","174,000","0","174,000",
"8016  ","矽創            ","172,000","0","172,000",
="03916 ","凱基3G          ","1,759,000","1,589,000","170,000",
="04114 ","永昌LZ          ","467,000","298,000","169,000",
="04293 ","元大BU          ","1,212,000","1,044,000","168,000",
"1313  ","聯成            ","616,000","450,000","166,000",
="04048 ","凱基3S          ","1,267,000","1,102,000","165,000",
="04144 ","元大AS          ","1,046,000","882,000","164,000",
"2475  ","華映            ","160,000","0","160,000",
"1326  ","台化            ","244,000","85,000","159,000",
"6505  ","台塑化          ","366,000","210,000","156,000",
"3231  ","緯創            ","324,000","168,136","155,864",
"2315  ","神達            ","1,025,000","869,272","155,728",
="04157 ","大華LW          ","1,664,000","1,512,000","152,000",
="03947 ","兆豐C3          ","150,000","0","150,000",
