"095年09月13日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2915  ","潤泰全          ","7,185,000","0","7,185,000",
" ","2330  ","台積電          ","4,642,000","377,000","4,265,000",
" ","2105  ","正新            ","2,045,000","2,000","2,043,000",
" ","1216  ","統一            ","1,550,000","6,000","1,544,000",
" ","3042  ","晶技            ","1,408,000","100,000","1,308,000",
" ","3062  ","建漢            ","1,157,000","0","1,157,000",
" ","9945  ","潤泰新          ","1,270,000","201,000","1,069,000",
" ","2615  ","萬海            ","1,024,000","1,000","1,023,000",
" ","2353  ","宏碁            ","980,000","8,000","972,000",
" ","5469  ","瀚宇博          ","750,000","0","750,000",
" ","2486  ","一詮            ","720,000","0","720,000",
" ","2412  ","中華電          ","721,000","18,000","703,000",
" ","2612  ","中航            ","629,000","100,000","529,000",
" ","8078  ","華寶            ","773,000","267,000","506,000",
" ","2605  ","新興            ","500,000","0","500,000",
" ","2350  ","環電            ","500,000","1,000","499,000",
" ","2311  ","日月光          ","549,000","148,000","401,000",
" ","2355  ","敬鵬            ","400,000","0","400,000",
" ","2002  ","中鋼            ","500,000","136,000","364,000",
" ","3311  ","閎暉            ","409,000","80,000","329,000",
" ","2534  ","宏盛            ","260,000","0","260,000",
" ","1528  ","恩德            ","250,000","0","250,000",
" ","2548  ","華固            ","287,000","50,000","237,000",
" ","3406  ","玉晶光          ","205,000","0","205,000",
" ","9933  ","中鼎            ","200,000","0","200,000",
" ","2409  ","友達            ","424,140","261,000","163,140",
" ","2417  ","圓剛            ","216,000","84,000","132,000",
" ",="0050  ","元大台灣50      ","130,000","0","130,000",
" ","1726  ","永記            ","130,000","0","130,000",
" ","2395  ","研華            ","129,000","1,000","128,000",
" ","2379  ","瑞昱            ","130,000","6,000","124,000",
" ","2903  ","遠百            ","120,000","2,000","118,000",
" ","2402  ","毅嘉            ","216,000","100,000","116,000",
" ","2363  ","矽統            ","115,000","0","115,000",
" ","2460  ","建通            ","110,000","0","110,000",
" ","4904  ","遠傳            ","114,000","7,000","107,000",
" ","1311  ","福聚            ","100,000","0","100,000",
" ","2414  ","精技            ","100,000","0","100,000",
" ","6116  ","彩晶            ","98,000","0","98,000",
" ","2317  ","鴻海            ","204,000","113,000","91,000",
" ","3061  ","璨圓            ","80,000","0","80,000",
" ","2356  ","英業達          ","82,000","3,000","79,000",
" ","2357  ","華碩            ","242,000","165,000","77,000",
" ","2027  ","大成鋼          ","76,000","0","76,000",
" ","2354  ","鴻準            ","83,000","8,000","75,000",
" ","1717  ","長興            ","74,000","0","74,000",
" ","2382  ","廣達            ","90,000","17,000","73,000",
" ","2883  ","開發金          ","90,000","19,000","71,000",
" ","6206  ","飛捷            ","120,000","50,000","70,000",
" ","3367  ","英華達          ","60,000","0","60,000",
" ","1303  ","南亞            ","72,000","15,000","57,000",
" ","2474  ","可成            ","73,104","22,000","51,104",
" ","1471  ","首利            ","50,000","0","50,000",
" ","2385  ","群光            ","43,000","0","43,000",
" ","3063  ","飛信            ","58,000","20,000","38,000",
" ","2337  ","旺宏            ","32,000","0","32,000",
" ","3044  ","健鼎            ","50,000","19,000","31,000",
" ","6004  ","元京證          ","31,000","0","31,000",
" ","2854  ","寶來證          ","20,000","0","20,000",
" ","3007  ","綠點            ","151,000","131,000","20,000",
" ","3189  ","景碩            ","315,469","297,072","18,397",
" ","3008  ","大立光          ","36,000","18,000","18,000",
" ","2360  ","致茂            ","15,000","0","15,000",
" ","2855  ","統一證          ","15,000","0","15,000",
" ","2823  ","中壽            ","17,000","9,000","8,000",
" ","3019  ","亞光            ","55,000","50,000","5,000",
" ","1477  ","聚陽            ","3,000","0","3,000",
" ","3037  ","欣興            ","1,550,000","7,388,000","-5,838,000",
" ","2504  ","國產            ","0","3,602,000","-3,602,000",
" ","2888  ","新光金          ","74","2,906,805","-2,906,731",
" ","3009  ","奇美電          ","104,000","2,574,640","-2,470,640",
" ","2887  ","台新金          ","1,781,000","4,008,000","-2,227,000",
" ","2459  ","敦吉            ","0","2,131,000","-2,131,000",
" ","2201  ","裕隆            ","0","1,871,000","-1,871,000",
" ","2446  ","全懋            ","0","1,574,000","-1,574,000",
" ","1532  ","勤美            ","420,000","1,942,000","-1,522,000",
" ","6235  ","華孚            ","0","1,210,000","-1,210,000",
" ","3474  ","華亞科          ","500,000","1,695,000","-1,195,000",
" ","5854  ","合庫            ","0","1,007,500","-1,007,500",
" ","2538  ","基泰            ","0","1,000,000","-1,000,000",
" ","2393  ","億光            ","445,000","1,369,000","-924,000",
" ","2603  ","長榮            ","0","899,000","-899,000",
" ","2107  ","厚生            ","0","880,000","-880,000",
" ","2451  ","創見            ","86,000","949,000","-863,000",
" ","2313  ","華通            ","481,000","1,304,000","-823,000",
" ","1722  ","台肥            ","3,000","770,000","-767,000",
" ","2880  ","華南金          ","0","734,000","-734,000",
" ","2325  ","矽品            ","0","709,000","-709,000",
" ","3034  ","聯詠            ","53,000","726,579","-673,579",
" ","1904  ","正隆            ","0","654,000","-654,000",
" ","6505  ","台塑化          ","0","646,000","-646,000",
" ","2448  ","晶電            ","467,000","1,109,278","-642,278",
" ","2542  ","興富發          ","0","517,188","-517,188",
" ","3045  ","台灣大          ","2,000","506,000","-504,000",
" ","5534  ","長虹            ","66,000","569,000","-503,000",
" ","1402  ","遠東新          ","0","500,000","-500,000",
" ","2883A ","開發特          ","0","500,000","-500,000",
" ","3214  ","元砷            ","0","488,000","-488,000",
" ","3380  ","明泰            ","10,000","459,000","-449,000",
" ","1536  ","和大            ","0","445,885","-445,885",
" ","1434  ","福懋            ","0","434,000","-434,000",
" ","2469  ","力信            ","0","425,000","-425,000",
" ","1905  ","華紙            ","0","422,000","-422,000",
" ","5471  ","松翰            ","150,000","569,000","-419,000",
" ","5434  ","崇越            ","0","400,000","-400,000",
" ","8926  ","台汽電          ","0","356,000","-356,000",
" ","1313  ","聯成            ","0","350,000","-350,000",
" ","4906  ","正文            ","36,000","370,000","-334,000",
" ","2342  ","茂矽            ","0","320,000","-320,000",
" ","2501  ","國建            ","0","319,000","-319,000",
" ","2351  ","順德            ","0","308,000","-308,000",
" ","2856  ","元富證          ","0","303,000","-303,000",
" ","2316  ","楠梓電          ","0","295,000","-295,000",
" ","9939  ","宏全            ","58,000","350,000","-292,000",
" ","6286  ","立錡            ","91,000","351,000","-260,000",
" ","2408  ","南亞科          ","0","259,000","-259,000",
" ","2836  ","高雄銀          ","0","257,000","-257,000",
" ","2383  ","台光電          ","0","251,000","-251,000",
" ","2014  ","中鴻            ","0","238,000","-238,000",
" ","2481  ","強茂            ","0","200,000","-200,000",
" ","3059  ","華晶科          ","0","200,000","-200,000",
" ","6196  ","帆宣            ","0","200,000","-200,000",
" ","6285  ","啟碁            ","0","185,000","-185,000",
" ","8046  ","南電            ","39,000","199,000","-160,000",
" ","2338  ","光罩            ","0","150,000","-150,000",
" ","6289  ","華上            ","0","150,000","-150,000",
" ","2545  ","皇翔            ","0","145,000","-145,000",
" ","2461  ","光群雷          ","0","125,000","-125,000",
" ","8016  ","矽創            ","0","124,000","-124,000",
" ","2447  ","鼎新            ","0","120,000","-120,000",
" ","2439  ","美律            ","6,000","120,000","-114,000",
" ","2833  ","台壽保          ","0","106,000","-106,000",
" ","2492  ","華新科          ","0","100,000","-100,000",
" ","2452  ","乾坤            ","0","96,000","-96,000",
" ","2704  ","國賓            ","300,000","396,000","-96,000",
" ","3014  ","聯陽            ","0","70,000","-70,000",
" ","1524  ","耿鼎            ","0","60,000","-60,000",
" ","2391  ","合勤            ","7,000","64,000","-57,000",
" ","1521  ","大億            ","0","53,000","-53,000",
" ","2376  ","技嘉            ","18,000","69,000","-51,000",
" ","2908  ","特力            ","0","51,000","-51,000",
" ","3055  ","蔚華科          ","0","51,000","-51,000",
" ","2464  ","盟立            ","0","50,083","-50,083",
" ","1437  ","勤益控          ","0","50,000","-50,000",
" ","2454  ","聯發科          ","418,000","464,000","-46,000",
" ","2882  ","國泰金          ","0","46,000","-46,000",
" ","3231  ","緯創            ","1,000","43,000","-42,000",
" ","1711  ","永光            ","0","41,000","-41,000",
" ","2456  ","奇力新          ","0","40,000","-40,000",
" ","2485  ","兆赫            ","0","40,000","-40,000",
" ","6605  ","帝寶            ","0","36,000","-36,000",
" ","2103  ","台橡            ","0","35,000","-35,000",
" ","5203  ","訊連            ","0","35,000","-35,000",
" ","9904  ","寶成            ","0","34,000","-34,000",
" ","2441  ","超豐            ","0","32,000","-32,000",
" ","1704  ","榮化            ","0","31,000","-31,000",
" ","1560  ","中砂            ","0","30,000","-30,000",
" ","2476  ","鉅祥            ","0","30,000","-30,000",
" ","8072  ","陞泰            ","0","28,000","-28,000",
" ","2303  ","聯電            ","8,000","35,000","-27,000",
" ","3012  ","廣輝            ","0","22,000","-22,000",
" ","6239  ","力成            ","63,000","85,000","-22,000",
" ","2886  ","兆豐金          ","0","21,000","-21,000",
" ","9938  ","百和            ","0","20,000","-20,000",
" ","1326  ","台化            ","0","15,000","-15,000",
" ","2475  ","華映            ","0","15,000","-15,000",
" ","1102  ","亞泥            ","0","14,000","-14,000",
" ","2881  ","富邦金          ","0","14,000","-14,000",
" ","2332  ","友訊            ","0","12,000","-12,000",
" ","2392  ","正崴            ","0","12,000","-12,000",
" ","2371  ","大同            ","0","11,000","-11,000",
" ","2892  ","第一金          ","0","11,000","-11,000",
" ","9925  ","新保            ","0","11,000","-11,000",
" ","1301  ","台塑            ","0","10,000","-10,000",
" ","1735  ","日勝化          ","0","10,000","-10,000",
" ","1101  ","台泥            ","0","9,000","-9,000",
" ","2890  ","永豐金          ","0","9,000","-9,000",
" ","2101  ","南港            ","0","8,000","-8,000",
" ","2324  ","仁寶            ","3,000","11,000","-8,000",
" ","2387  ","精元            ","0","8,000","-8,000",
" ","2618  ","長榮航          ","0","8,000","-8,000",
" ","2801  ","彰銀            ","0","8,000","-8,000",
" ","2891  ","中信金          ","0","8,000","-8,000",
" ","2344  ","華邦電          ","0","7,000","-7,000",
" ","2315  ","神達            ","6,000","12,354","-6,354",
" ","1605  ","華新            ","0","6,000","-6,000",
" ","2308  ","台達電          ","0","6,000","-6,000",
" ","2885  ","元大金          ","0","6,000","-6,000",
" ","2301  ","光寶科          ","0","5,000","-5,000",
" ","2394  ","普立爾          ","0","5,000","-5,000",
" ","2807  ","竹商銀          ","0","5,000","-5,000",
" ","2884  ","玉山金          ","0","5,000","-5,000",
" ","2912  ","統一超          ","0","5,000","-5,000",
" ","1440  ","南紡            ","0","4,000","-4,000",
" ","1907  ","永豐餘          ","0","4,000","-4,000",
" ","2327  ","國巨            ","0","4,000","-4,000",
" ","2352  ","佳世達          ","0","4,000","-4,000",
" ","2838  ","聯邦銀          ","0","4,000","-4,000",
" ","1504  ","東元            ","0","3,000","-3,000",
" ","1718  ","中纖            ","0","3,000","-3,000",
" ","1802  ","台玻            ","0","3,000","-3,000",
" ","2204  ","中華            ","0","3,000","-3,000",
" ","2498  ","宏達電          ","15,000","18,000","-3,000",
" ","2707  ","晶華            ","0","3,000","-3,000",
" ","2812  ","台中銀          ","0","3,000","-3,000",
" ","2820  ","華票            ","0","3,000","-3,000",
" ","2845  ","遠東銀          ","0","3,000","-3,000",
" ","2889  ","國票金          ","0","3,000","-3,000",
" ","1409  ","新纖            ","0","2,000","-2,000",
" ","1736  ","喬山            ","0","2,000","-2,000",
" ","2312  ","金寶            ","0","2,000","-2,000",
" ","2331  ","精英            ","0","2,000","-2,000",
" ","2347  ","聯強            ","0","2,000","-2,000",
" ","2449  ","京元電子        ","0","2,000","-2,000",
" ","2609  ","陽明            ","0","2,000","-2,000",
" ","2847  ","大眾銀          ","0","2,000","-2,000",
" ","3035  ","智原            ","0","2,000","-2,000",
" ","6005  ","群益證          ","0","2,000","-2,000",
" ","6012  ","金鼎證          ","0","2,000","-2,000",
" ","9907  ","統一實          ","0","2,000","-2,000",
" ","1234  ","黑松            ","0","1,000","-1,000",
