證券代號,證券名稱,date,year,month,day,投信買進股數(總),投信賣出股數(總),投信買賣超股數(總),自營商買進股數(自有),自營商賣出股數(自有),自營商買賣超股數(自有),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),自營商買進股數(總),自營商賣出股數(總),自營商買賣超股數(總),外資買進股數(非自營),外資賣出股數(非自營),外資買賣超股數(非自營),外資買進股數(自營),外資賣出股數(自營),外資買賣超股數(自營),外資買進股數(總),外資賣出股數(總),外資買賣超股數(總)
"=""053882""",聯發科中信98購02,20191226,2019,12,26,nan,nan,nan,0,0,0,0,"100,000","-100,000",0,"100,000","-100,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20191227,2019,12,27,nan,nan,nan,0,0,0,0,"189,000","-189,000",0,"189,000","-189,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20191230,2019,12,30,nan,nan,nan,0,0,0,"94,000","12,000","82,000","94,000","12,000","82,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20191231,2019,12,31,nan,nan,nan,0,0,0,0,"5,000","-5,000",0,"5,000","-5,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200102,2020,1,2,nan,nan,nan,0,0,0,0,"47,000","-47,000",0,"47,000","-47,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200103,2020,1,3,nan,nan,nan,0,0,0,"2,000","131,000","-129,000","2,000","131,000","-129,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200106,2020,1,6,nan,nan,nan,0,0,0,0,"17,000","-17,000",0,"17,000","-17,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200107,2020,1,7,nan,nan,nan,0,0,0,"30,000","61,000","-31,000","30,000","61,000","-31,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200108,2020,1,8,nan,nan,nan,0,0,0,"146,000","109,000","37,000","146,000","109,000","37,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200109,2020,1,9,nan,nan,nan,0,0,0,"70,000","102,000","-32,000","70,000","102,000","-32,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
